flag_partner;flag_partner_desc
5;ADMINISTRADOR
10;DIRETOR
11;INTERVENTOR
12;INVENTARIANTE
13;LIQUIDANTE
16;PRESIDENTE
17;PROCURADOR
18;SECRETÁRIO
19;SÍNDICO (CONDOMÍNIO)
23;SÓCIO CAPITALISTA
24;SÓCIO COMANDITADO
31;SÓCIO OSTENSIVO
32;TABELIÃO
33;TESOUREIRO
34;TITULAR DE EMPRESA INDIVIDUAL IMOBILIÁRIA
39;DIPLOMATA
40;CÔNSUL
41;REPRESENTANTE DE ORGANIZAÇÃO INTERNACIONAL
42;OFICIAL DE REGISTRO
43;RESPONSÁVEL
46;MINISTRO DE ESTADO DAS RELAÇÕES EXTERIORES
49;SÓCIO-ADMINISTRADOR
50;EMPRESÁRIO
51;CANDIDATO A CARGO POLÍTICO ELETIVO
54;FUNDADOR
59;PRODUTOR RURAL
60;CÔNSUL HONORÁRIO
61;RESPONSÁVEL INDÍGENA
62;REPRESENTANTE DA INSTITUIÇÃO EXTRATERRITORIAL
64;ADMINISTRADOR JUDICIAL
65;TITULAR PESSOA FÍSICA RESIDENTE OU DOMICILIADO NO BRASIL
77;VICE-PRESIDENTE